,distrito,ano,quarter,precio
643,Retiro,2016,1,13.5165701392935
644,Salamanca,2016,1,15.6367050627137
645,San Blas,2016,1,9.64734247845529
646,Tetuan,2016,1,12.913108594216
647,Usera,2016,1,9.73781682917016
648,Vicálvaro,2016,1,8.36439523545268
649,Villa De Vallecas,2016,1,9.187658836851462
650,Villaverde,2016,1,8.21315427455413
651,Arganzuela,2016,2,11.9834141460663
652,Barajas,2016,2,10.6240699216793
653,Carabanchel,2016,2,9.3046135369954
654,Centro,2016,2,15.970630143514098
655,Chamartín,2016,2,13.8510672310924
656,Chamberí,2016,2,15.189586230167999
